"V1" "V2"
0.86946 1.7584
-0.16145 0.021252
0.12834 0.738
-0.034942 0.015524
-1.4408 -0.40755
-0.1317 0.71358
-1.5798 -0.86377
0.24747 -0.72448
-0.0092259 0.35908
0.92867 1.3351
0.84213 0.875
0.47628 -1.2528
-0.049213 0.19177
-0.13768 0.18465
-0.10705 -1.4647
-1.072 -1.1902
-0.16194 -0.31533
-0.14551 -0.89971
0.04905 -0.64937
1.1887 -0.097052
1.0466 1.3667
1.5261 -0.55712
0.26776 -1.3032
0.4099 -0.022215
1.3876 -0.38783
0.0383 -0.11028
0.036604 -0.48767
-0.383 -0.79381
-1.6947 0.22621
-0.40122 0.086402
0.55098 0.98075
-0.070609 -1.6689
-1.2686 1.4715
0.38919 -0.031265
1.8558 0.40672
-0.46078 -0.40842
-0.31298 0.55401
0.12158 0.10191
0.71841 0.43797
-0.047921 0.17873
-0.065157 -0.33437
0.24609 0.45762
-1.2567 -1.4538
-0.53154 -1.4173
-0.54479 1.355
-0.48119 -1.7607
1.2938 0.031045
0.34358 -0.085408
0.41192 -0.041988
1.0938 0.57345
-1.9851 0.18026
-0.64305 -1.6188
0.21735 -0.069126
0.3215 -0.15103
0.85907 -0.28842
-0.952 0.6808
0.3842 -0.39391
1.0528 -0.18969
-0.26625 -1.128
-0.72508 -0.44331
1.1973 -1.1622
0.030714 0.26117
-0.75102 0.47438
-0.089376 -0.06946
0.85857 -1.6769
0.9561 -0.087678
-0.86318 -0.43312
-1.3851 0.70632
0.29449 1.4007
0.21116 0.025038
1.0946 -1.0043
1.8895 -0.034622
-0.62774 -0.87944
0.26691 1.5399
1.1871e-05 -0.0053583
1.4477 1.1085
-0.8517 -1.6799
-0.004798 0.36518
0.46449 -0.14295
0.28555 -0.10248
1.1002 0.27738
-1.5183 -0.73435
1.208 -0.32312
-0.8017 -0.55806
-1.2628 0.03199
0.28761 -0.15384
0.93775 -0.95681
-0.6793 0.57868
-1.002 0.55761
-0.5807 1.2897
-0.055812 0.97627
1.2679 1.5069
-0.68995 -0.59273
-0.95257 1.1476
0.20213 -0.50782
0.63254 -0.73944
-0.83336 0.3491
-0.5552 -0.50136
0.28624 1.4953
0.33173 -0.14832
0.3594 2.8262
-2.4234 2.059
2.2189 -1.2282
0.094159 -3.1458
-2.7945 0.45091
2.2949 -1.0553
-1.406 2.5706
0.68628 2.2878
-1.5071 -3.5417
3.8905 -0.99684
2.3513 -0.86114
-2.1014 -1.8339
3.2193 -2.2545
2.1345 -0.55829
2.5013 -0.55574
-1.8983 -1.755
-2.0251 3.0746
0.6835 3.5121
-0.80474 3.0402
0.68019 -2.6533
0.50459 2.2698
-3.4832 0.82794
-0.72509 3.1921
2.2349 -1.1475
3.3403 1.9083
1.6479 1.6365
0.15459 3.8964
-1.3637 -2.2755
2.9234 -2.0677
-3.6178 -1.4383
-0.86002 -3.2907
3.4818 -1.4339
1.2944 3.7179
0.18289 3.3507
-1.3719 1.9721
-2.1652 -2.5171
3.7327 1.6895
2.1577 0.53554
-0.60361 2.3306
1.8067 -2.1028
2.2674 -3.1421
-3.1606 -0.76891
1.7844 -2.0894
2.2587 1.8039
-2.9199 2.4143
2.5131 -0.12409
-0.17539 2.6653
-0.72877 2.0676
-2.0359 2.9245
1.4896 -3.1394
-1.815 3.2777
-3.8442 -0.3992
2.1267 0.64728
1.9989 0.96377
-2.1836 -0.20634
1.0181 1.9253
-1.6328 2.9601
-2.7302 -1.4588
2.0871 -0.7923
2.2667 -1.5646
1.2722 -2.3376
2.8522 -0.14795
0.45976 2.7863
-2.1451 0.75789
-2.8358 1.9678
-0.91818 -3.2416
1.6251 3.4191
1.8822 -1.6808
2.6866 2.352
3.0516 1.7676
1.689 1.0899
-0.54083 3.9997
-2.3088 0.42229
-0.26535 -3.1875
1.9784 1.2006
1.3181 1.7647
-2.3712 -1.6121
2.5326 0.41193
0.31142 -3.1908
-2.1882 2.402
3.3405 0.50452
-0.64461 2.3492
-3.1109 -1.3418
2.7532 1.6598
3.0338 -1.8011
0.55326 -3.2497
-0.3684 2.1586
-3.5082 1.701
2.8925 -1.4994
-1.5934 -3.3142
-3.4767 -0.64924
1.5387 1.626
-2.0381 1.6548
-1.0513 -3.1338
-0.67718 1.9399
-0.62232 -2.3717
0.93377 1.9785
-2.4637 0.84131
2.8754 2.4508
1.8158 -1.3214
