"V3" "V4"
2.3083 -2.8849
2.1101 0.88393
-2.1365 0.11489
0.51002 -2.9675
-2.1049 -2.231
0.81285 -3.3197
-2.6513 0.10319
2.937 0.87096
1.4197 3.4318
0.71739 -3.6809
-1.1112 -2.1967
-0.94594 -1.7501
-0.40477 -2.083
2.4725 2.9453
3.2077 -1.3708
-2.2415 -3.0126
-1.0796 -2.6064
2.623 0.84893
-0.68495 3.3005
0.85608 2.7015
-3.1983 1.9559
1.5799 2.1597
1.2736 -2.0468
-2.3213 2.6161
3.2102 -1.501
-2.6117 -1.2965
2.0596 1.5571
1.212 -2.3733
-1.8145 -2.8568
1.3786 2.5736
-1.429 2.1459
3.0226 1.3121
2.615 2.7351
0.24663 2.5983
-3.3261 1.7242
0.18747 2.86
-2.039 1.1726
-1.9461 -3.4699
2.3156 1.076
0.63729 -2.8387
1.6326 -3.0584
0.82614 -2.9207
-3.2226 -1.9532
-3.0891 2.3391
-0.18582 -2.9176
-2.7544 -0.40839
1.8877 -3.4141
2.0921 2.4878
-2.8011 -0.91824
-1.528 -2.0427
-0.075345 -2.2293
-1.0668 -2.209
-0.95013 2.3598
1.0808 1.9292
1.5849 -2.3805
-0.96475 -2.4491
-2.9306 -0.96382
0.6678 2.0693
2.3182 0.916
3.4437 -0.67886
-3.8247 0.93449
1.0456 2.477
3.5107 -0.26874
1.2199 -1.8872
2.762 -0.53932
1.5015 1.9738
1.0274 3.3649
-2.6448 -1.0936
0.044062 2.4146
-2.9754 1.5313
-4.0348 0.4158
2.1606 -0.43992
-3.5683 1.5543
-2.3153 -1.2939
3.9307 -0.035931
0.56833 2.4601
-3.8293 0.22445
1.0497 -3.0837
-2.1323 0.092003
0.51654 -3.1943
0.78665 2.098
1.2374 -1.601
1.4583 -2.3595
2.5725 3.0378
0.72389 -2.8154
2.0653 1.5683
0.028744 2.2596
1.7399 3.4254
1.6236 -1.8316
-3.7644 0.41487
2.4166 -2.5154
2.78 1.657
-3.0225 -0.20852
1.7028 2.0678
-1.6408 3.617
2.4986 -2.836
1.6401 -2.7794
2.357 0.50187
-0.44284 2.1705
0.43407 -2.2713
-1.2706 -1.2303
1.2049 1.0871
-0.2249 -0.10564
1.1239 0.32718
0.15854 -0.34749
-0.16499 1.3228
0.015169 0.069513
-0.13936 -1.1183
-1.0516 1.1675
-0.83468 -1.7941
-0.36066 -0.29655
0.15877 -0.16839
0.17916 -0.069809
-0.16337 -0.30035
0.0065587 -0.090599
-0.46225 -0.12929
-0.70681 -1.6929
1.8419 0.49758
1.0199 0.17965
-1.2048 0.90626
0.67977 1.1577
0.23047 0.32648
-0.67288 -1.323
-0.017022 0.052871
0.9471 0.54189
0.74355 -0.9308
-1.8055 0.27095
-0.33685 -0.31901
0.062284 1.4267
-0.50552 -0.53647
-0.20424 0.14307
-1.0616 0.58884
-0.031663 0.053049
0.12073 -0.74886
0.53669 0.36604
0.61145 0.71937
-0.39098 0.28635
0.39911 0.74246
0.47924 0.84677
-1.2029 -0.62595
0.1052 -0.5104
-0.97279 -1.5417
-0.032032 -0.083714
1.5053 0.74229
1.3445 0.46699
-1.0344 -1.5363
0.10125 -0.31719
-0.80955 0.2558
-1.7074 -0.86574
0.22468 0.85839
1.5441 1.1148
-0.18019 -1.4091
-0.28541 0.5762
0.80473 0.47242
1.1083 0.095017
-0.57285 1.2998
-0.35042 0.79331
-0.12126 -0.99378
0.26836 -0.12441
0.44221 0.50155
-0.16136 1.004
0.17505 1.7677
-0.21393 -0.0084211
-1.6774 1.0533
-1.0532 -1.1145
-0.5536 -1.808
-1.48 1.3272
0.84236 -1.2584
-0.2236 0.018669
0.77724 0.41028
-0.23815 1.646
1.5738 -0.46167
-1.5487 -0.022128
1.2298 1.4483
0.017174 -0.54889
-0.78648 -1.3372
-1.7593 0.69983
0.43904 -0.48441
0.86955 0.092818
0.15723 0.05639
0.3992 -0.1274
-0.026495 1.0729
-1.4034 -0.75283
-0.3649 1.5354
0.51995 1.6805
1.1802 1.3031
0.42589 -1.7973
1.615 1.1508
-0.3204 0.64387
-0.67905 -0.35037
-0.31679 -0.14325
-0.13235 0.036668
0.038148 -0.012224
1.6113 0.14273
0.21606 -0.94282
-0.5054 -0.43924
-0.34248 0.11527
0.11452 0.11441
-0.054777 -0.027457
-1.359 -0.035671
